Realization Num.,Customer 1,Customer 2,Customer 3,Customer 4,Customer 5,Customer 6,Customer 7,Customer 8,Customer 9,Customer 10,Customer 11,Customer 12,Customer 13,Customer 14
1,126.48,120,112.87,120,108.39,77.87,128.23,79.6,82.47,30,117.39,120,80.42,180
2,30,120,240,30,108.39,77.87,128.23,30,120,112.68,180,88.84,180,30
3,126.48,69.49,112.87,66.14,30,77.87,30,120,120,112.68,30,88.84,80.42,180
4,126.48,69.49,112.87,30,30,77.87,180,120,120,112.68,180,88.84,80.42,85.32
5,30,69.49,112.87,66.14,180,120,128.23,79.6,82.47,30,117.39,30,80.42,85.32
6,126.48,120,112.87,120,30,120,128.23,120,120,30,30,30,80.42,30
7,126.48,120,112.87,66.14,108.39,77.87,128.23,120,82.47,30,180,88.84,80.42,85.32
8,180,69.49,30,66.14,108.39,120,128.23,79.6,30,112.68,117.39,30,80.42,85.32
9,126.48,30,240,120,30,30,128.23,79.6,30,30,180,30,80.42,85.32
10,180,120,30,30,30,120,180,120,30,112.68,117.39,30,80.42,85.32
11,126.48,120,112.87,66.14,180,120,128.23,120,120,112.68,117.39,120,180,180
12,30,69.49,240,30,30,77.87,30,120,82.47,30,117.39,88.84,30,30
13,30,69.49,112.87,30,108.39,120,128.23,79.6,120,30,30,88.84,80.42,85.32
14,180,69.49,112.87,66.14,108.39,77.87,30,120,82.47,30,117.39,30,30,85.32
15,30,120,30,66.14,108.39,30,30,79.6,30,30,30,30,30,85.32
16,180,120,30,66.14,30,120,128.23,120,82.47,112.68,30,88.84,180,180
17,126.48,69.49,30,66.14,30,77.87,128.23,120,82.47,112.68,117.39,88.84,30,85.32
18,180,69.49,30,66.14,108.39,30,180,120,120,30,180,88.84,80.42,180
19,30,69.49,30,30,108.39,77.87,128.23,79.6,82.47,112.68,30,120,80.42,85.32
20,126.48,120,30,66.14,108.39,120,128.23,120,120,30,117.39,88.84,180,30
21,126.48,120,30,30,108.39,30,128.23,120,30,112.68,117.39,88.84,80.42,85.32
22,180,69.49,112.87,30,108.39,120,128.23,79.6,30,112.68,117.39,30,30,85.32
23,30,30,30,30,108.39,30,180,79.6,82.47,112.68,117.39,88.84,30,180
24,126.48,69.49,30,66.14,108.39,77.87,180,79.6,82.47,112.68,180,30,30,30
25,180,69.49,112.87,66.14,30,77.87,128.23,120,82.47,112.68,180,30,80.42,30
26,126.48,120,240,66.14,108.39,77.87,128.23,30,82.47,112.68,180,30,30,85.32
27,126.48,120,112.87,30,108.39,30,128.23,120,120,112.68,117.39,30,80.42,85.32
28,180,69.49,240,120,108.39,120,30,79.6,30,30,117.39,88.84,80.42,85.32
29,30,30,30,30,108.39,77.87,128.23,120,120,30,117.39,30,30,180
30,126.48,69.49,112.87,120,108.39,30,128.23,120,30,112.68,117.39,30,80.42,30
31,126.48,69.49,240,66.14,108.39,77.87,128.23,120,30,30,117.39,88.84,30,85.32
32,180,69.49,112.87,30,108.39,30,180,79.6,82.47,112.68,117.39,120,80.42,85.32
33,180,120,240,30,180,30,30,79.6,82.47,30,117.39,30,80.42,85.32
34,126.48,69.49,30,30,180,30,180,120,82.47,112.68,117.39,30,180,180
35,30,69.49,112.87,120,108.39,120,30,79.6,82.47,180,117.39,120,30,30
36,180,120,30,30,108.39,30,128.23,120,82.47,30,117.39,30,30,85.32
37,126.48,120,30,30,108.39,30,128.23,79.6,82.47,30,180,30,180,85.32
38,180,69.49,112.87,120,30,77.87,128.23,30,120,30,117.39,30,80.42,85.32
39,126.48,120,30,66.14,108.39,77.87,30,30,82.47,112.68,30,88.84,80.42,180
40,126.48,120,240,30,108.39,77.87,128.23,120,82.47,30,117.39,30,30,85.32
41,30,120,30,66.14,108.39,30,128.23,120,120,112.68,30,88.84,180,85.32
42,180,120,112.87,66.14,108.39,120,128.23,120,82.47,112.68,30,30,30,180
43,30,120,240,66.14,180,30,30,79.6,30,30,30,120,180,85.32
44,30,120,30,120,108.39,30,128.23,79.6,30,30,117.39,30,80.42,30
45,180,120,30,66.14,108.39,30,180,79.6,82.47,112.68,117.39,88.84,30,85.32
46,30,120,30,120,180,120,128.23,30,82.47,30,30,88.84,180,85.32
47,30,120,112.87,66.14,108.39,30,128.23,120,82.47,112.68,30,120,80.42,180
48,30,69.49,30,30,108.39,30,128.23,120,30,30,117.39,120,80.42,180
49,126.48,69.49,112.87,120,108.39,77.87,128.23,30,82.47,112.68,117.39,30,80.42,85.32
50,126.48,69.49,30,120,30,30,128.23,120,30,30,117.39,30,180,85.32
