Realization Num.,Customer 1,Customer 2,Customer 3,Customer 4,Customer 5,Customer 6,Customer 7,Customer 8,Customer 9,Customer 10,Customer 11,Customer 12,Customer 13,Customer 14,Customer 15,Customer 16,Customer 17,Customer 18,Customer 19
1,126.48,120,112.87,66.14,108.39,77.87,180,120,120,30,30,88.84,180,30,120.91,79.69,156.69,30,180
2,180,69.49,112.87,30,108.39,30,128.23,79.6,82.47,30,117.39,30,180,180,240,30,156.69,123.61,180
3,126.48,69.49,112.87,30,30,77.87,180,120,120,112.68,180,88.84,80.42,85.32,120.91,79.69,30,180,128.23
4,180,69.49,30,66.14,108.39,77.87,30,79.6,82.47,30,117.39,88.84,180,180,30,120,30,180,180
5,30,69.49,112.87,30,30,77.87,128.23,120,82.47,112.68,117.39,30,180,85.32,30,120,156.69,123.61,180
6,180,69.49,30,66.14,108.39,120,128.23,79.6,30,112.68,117.39,30,80.42,85.32,240,79.69,30,180,180
7,126.48,120,30,30,30,120,128.23,120,82.47,30,180,88.84,80.42,30,120.91,120,156.69,180,30
8,126.48,30,30,66.14,108.39,77.87,180,120,82.47,112.68,180,30,180,180,240,79.69,240,180,180
9,30,69.49,240,30,30,77.87,30,120,82.47,30,117.39,88.84,30,30,240,79.69,30,123.61,128.23
10,180,69.49,112.87,120,108.39,30,128.23,79.6,82.47,30,180,30,80.42,85.32,120.91,120,30,180,128.23
11,126.48,69.49,30,120,108.39,30,128.23,79.6,82.47,112.68,117.39,30,30,30,30,30,30,123.61,180
12,180,120,30,66.14,30,120,128.23,120,82.47,112.68,30,88.84,180,180,120.91,79.69,156.69,123.61,128.23
13,126.48,120,112.87,66.14,180,77.87,128.23,79.6,82.47,112.68,180,30,30,85.32,120.91,79.69,156.69,180,180
14,180,120,112.87,120,108.39,30,128.23,79.6,30,112.68,117.39,30,80.42,85.32,240,30,240,123.61,128.23
15,126.48,120,30,66.14,108.39,120,128.23,120,120,30,117.39,88.84,180,30,30,79.69,240,30,128.23
16,30,69.49,112.87,30,108.39,30,128.23,79.6,82.47,30,180,30,180,30,120.91,120,156.69,123.61,30
17,126.48,69.49,30,66.14,30,30,30,79.6,30,112.68,30,120,80.42,85.32,120.91,79.69,156.69,123.61,180
18,126.48,69.49,30,66.14,108.39,77.87,180,79.6,82.47,112.68,180,30,30,30,240,120,30,123.61,128.23
19,126.48,120,240,66.14,108.39,120,30,120,30,112.68,117.39,88.84,180,85.32,120.91,120,156.69,30,128.23
20,180,30,30,66.14,108.39,77.87,128.23,79.6,30,30,30,88.84,180,180,240,120,30,180,180
